ASH,Ashland Global Holdings Inc.,Ashland,"""Ashland Global Holdings Inc. (ASH)"":[""ASH"",""Ashland""],",,
AZPN,Aspen Technology Inc.,Aspen,"""Aspen Technology Inc. (AZPN)"":[""AZPN"",""Aspen""],",,
ASB,Associated Banc-Corp,Associated,"""Associated Banc-Corp (ASB)"":[""ASB"",""Associated""],",,
AIZ,Assurant Inc.,Assurant,"""Assurant Inc. (AIZ)"":[""AIZ"",""Assurant""],",,
T,AT&T Inc.,AT&T,"""AT&T Inc. (T)"":[""T"",""AT&T""],",,
AVIR,Atea Pharmaceuticals Inc.,Atea,"""Atea Pharmaceuticals Inc. (AVIR)"":[""AVIR"",""Atea""],",,
ATKR,Atkore Inc.,Atkore,"""Atkore Inc. (ATKR)"":[""ATKR"",""Atkore""],",,
AUB,Atlantic Union Bankshares Corporation,Atlantic,"""Atlantic Union Bankshares Corporation (AUB)"":[""AUB"",""Atlantic""],",,
ATO,Atmos Energy Corporation,Atmos,"""Atmos Energy Corporation (ATO)"":[""ATO"",""Atmos""],",,
ATRC,AtriCure Inc.,AtriCure,"""AtriCure Inc. (ATRC)"":[""ATRC"",""AtriCure""],",,
ADSK,Autodesk Inc.,Autodesk,"""Autodesk Inc. (ADSK)"":[""ADSK"",""Autodesk""],",,
ADP,Automatic Data Processing Inc.,Automatic,"""Automatic Data Processing Inc. (ADP)"":[""ADP"",""Automatic""],",,
AN,AutoNation Inc.,AutoNation,"""AutoNation Inc. (AN)"":[""AN"",""AutoNation""],",,
AZO,AutoZone Inc.,AutoZone,"""AutoZone Inc. (AZO)"":[""AZO"",""AutoZone""],",,
AVLR,Avalara Inc.,Avalara,"""Avalara Inc. (AVLR)"":[""AVLR"",""Avalara""],",,
AVB,AvalonBay Communities Inc.,AvalonBay,"""AvalonBay Communities Inc. (AVB)"":[""AVB"",""AvalonBay""],",,
AGR,Avangrid Inc.,Avangrid,"""Avangrid Inc. (AGR)"":[""AGR"",""Avangrid""],",,
AVNS,Avanos Medical Inc.,Avanos,"""Avanos Medical Inc. (AVNS)"":[""AVNS"",""Avanos""],",,
AVY,Avery Dennison Corporation,Avery,"""Avery Dennison Corporation (AVY)"":[""AVY"",""Avery""],",,
AVNT,Avient Corporation,Avient,"""Avient Corporation (AVNT)"":[""AVNT"",""Avient""],",,
CAR,Avis Budget Group Inc.,Avis,"""Avis Budget Group Inc. (CAR)"":[""CAR"",""Avis""],",,
AVA,Avista Corporation,Avista,"""Avista Corporation (AVA)"":[""AVA"",""Avista""],",,
AVT,Avnet Inc.,Avnet,"""Avnet Inc. (AVT)"":[""AVT"",""Avnet""],",,
AXTA,Axalta Coating Systems Ltd.,Axalta,"""Axalta Coating Systems Ltd. (AXTA)"":[""AXTA"",""Axalta""],",,
AXON,Axon Enterprise Inc.,Axon,"""Axon Enterprise Inc. (AXON)"":[""AXON"",""Axon""],",,
AXNX,Axonics Modulation Technologies Inc.,Axonics,"""Axonics Modulation Technologies Inc. (AXNX)"":[""AXNX"",""Axonics""],",,
AX,Axos Financial Inc.,Axos,"""Axos Financial Inc. (AX)"":[""AX"",""Axos""],",,
AXSM,Axsome Therapeutics Inc.,Axsome,"""Axsome Therapeutics Inc. (AXSM)"":[""AXSM"",""Axsome""],",,
BMI,Badger Meter Inc.,Badger,"""Badger Meter Inc. (BMI)"":[""BMI"",""Badger""],",,
BCPC,Balchem Corporation,Balchem,"""Balchem Corporation (BCPC)"":[""BCPC"",""Balchem""],",,
BLL,Ball Corporation,Ball,"""Ball Corporation (BLL)"":[""BLL"",""Ball""],",,
BLDP,Ballard Power Systems Inc.,Ballard,"""Ballard Power Systems Inc. (BLDP)"":[""BLDP"",""Ballard""],",,
BANF,BancFirst Corporation,BancFirst,"""BancFirst Corporation (BANF)"":[""BANF"",""BancFirst""],",,
BSMX,Banco Santander Mexico S.A. Institucion de Banca Multiple Grupo Financiero Santander Mexico,Banco,"""Banco Santander Mexico S.A. Institucion de Banca Multiple Grupo Financiero Santander Mexico (BSMX)"":[""BSMX"",""Banco""],",,
BXS,BancorpSouth Bank,BancorpSouth,"""BancorpSouth Bank (BXS)"":[""BXS"",""BancorpSouth""],",,
BAND,Bandwidth Inc.,Bandwidth,"""Bandwidth Inc. (BAND)"":[""BAND"",""Bandwidth""],",,
BNS,Bank Nova Scotia Halifax Pfd 3,Bank,"""Bank Nova Scotia Halifax Pfd 3 (BNS)"":[""BNS"",""Bank""],",,
BAC,Bank of America Corporation,Bank,"""Bank of America Corporation (BAC)"":[""BAC"",""Bank""],",,
BOH,Bank of Hawaii Corporation,Bank,"""Bank of Hawaii Corporation (BOH)"":[""BOH"",""Bank""],",,
BMO,Bank Of Montreal,Bank,"""Bank Of Montreal (BMO)"":[""BMO"",""Bank""],",,
OZK,Bank OZK,Bank,"""Bank OZK (OZK)"":[""OZK"",""Bank""],",,
BKU,BankUnited Inc.,BankUnited,"""BankUnited Inc. (BKU)"":[""BKU"",""BankUnited""],",,
B,Barnes Group Inc.,Barnes,"""Barnes Group Inc. (B)"":[""B"",""Barnes""],",,
GOLD,Barrick Gold Corporation,Barrick,"""Barrick Gold Corporation (GOLD)"":[""GOLD"",""Barrick""],",,
BHC,Bausch Health Companies Inc.,Bausch,"""Bausch Health Companies Inc. (BHC)"":[""BHC"",""Bausch""],",,
BAX,Baxter International Inc.,Baxter,"""Baxter International Inc. (BAX)"":[""BAX"",""Baxter""],",,
BCE,BCE Inc.,BCE,"""BCE Inc. (BCE)"":[""BCE"",""BCE""],",,
BECN,Beacon Roofing Supply Inc.,Beacon,"""Beacon Roofing Supply Inc. (BECN)"":[""BECN"",""Beacon""],",,
BEAM,Beam Therapeutics Inc.,Beam,"""Beam Therapeutics Inc. (BEAM)"":[""BEAM"",""Beam""],",,
BDX,Becton Dickinson and Company,Becton,"""Becton Dickinson and Company (BDX)"":[""BDX"",""Becton""],",,
BBBY,Bed Bath & Beyond Inc.,Bed,"""Bed Bath & Beyond Inc. (BBBY)"":[""BBBY"",""Bed""],",,
